,PID,q1,q1ans,q2,q2ans,q3,q3ans,q4,q4ans,q5,q5ans,q6,q6ans,q7,q7ans,q8,q8ans,q9,q9ans,q10,q10ans,q11,q11ans,q12,q12ans,q13,q13ans,q14,q14ans,q15,q15ans,q16,q16ans,q17,q17ans,q18,q18ans,q19,q19ans,q20,q20ans,q21,q21ans,q22,q22ans,q23,q23ans,q24,q24ans,q25,q25ans,selfadmit,attencheck,nfc_1r,nfc_2r,nfc_3r,nfc_4r,nfc_5r,nfc_6r,nfc_7r,nfc_8r,nfc_9r,nfc_10r,nfc_11r,nfc_12r,nfc_13r,nfc_14r,nfc_15r,nfc_16r,nfc_17r,nfc_18r,bps1,bps2,bps3,bps4,bps5,bps6,bps7,bps8
110,121,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,No,Blue,2,5,2,5,5,2,5,5,3,5,5,2,3,3,3,3,3,3,7,5,7,7,7,7,7,7
111,122,DECK A, ,DECK B,correct,DECK B,incorrect,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK B,correct,No,Blue,3,2,4,3,3,1,2,3,3,3,4,4,2,2,2,5,2,3,5,6,4,2,4,5,5,7
112,123,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,incorrect,No,Blue,3,2,2,3,2,1,2,4,2,3,1,2,1,4,4,2,2,4,2,5,3,2,2,4,1,3
113,124,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK B,correct,DECK B,incorrect5,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK B,correct,No,Blue,2,4,3,2,2,4,3,2,3,4,4,4,3,2,4,4,4,4,6,4,5,2,3,4,3,2
114,125,DECK B,correct,DECK B,incorrect,DECK A, ,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,No,Blue,2,2,3,2,3,2,3,2,4,3,3,2,3,4,3,4,4,4,5,4,2,6,6,6,6,5
115,126,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,No,Blue,3,3,1,2,1,4,2,3,2,3,4,1,4,5,4,3,2,4,3,1,4,6,2,2,3,5
116,127,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,No,Blue,3,2,3,3,2,3,4,3,3,3,2,2,3,4,3,4,3,4,4,2,5,4,6,5,4,2
117,129,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,No,Blue,3,4,2,1,1,4,2,1,2,5,4,1,2,4,3,3,1,4,3,4,1,3,3,5,1,1
121,133,DECK A, ,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,No,Blue,3,3,3,2,3,4,2,3,3,3,3,2,2,3,3,2,3,2,3,3,4,2,3,3,4,3
122,134,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,No,Blue,1,2,1,4,4,4,4,5,5,4,2,2,1,2,4,5,2,4,1,5,6,3,6,2,3,7
123,135,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,No,Blue,2,3,3,4,2,2,4,4,4,3,2,2,3,4,2,4,3,3,6,3,3,5,4,4,6,2
124,136,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK B,incorrect1,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,No,Blue,4,4,3,3,3,3,4,5,3,2,3,3,2,2,3,3,4,2,5,5,6,5,4,2,5,3
125,137,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK B,incorrect,DECK B,blank,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,No,Blue,4,1,2,3,3,3,3,3,4,4,2,3,5,2,3,5,1,4,4,2,4,2,5,5,1,1
126,139,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,correct,No,Blue,2,2,3,3,3,4,4,4,4,4,4,2,2,3,4,4,4,4,6,2,4,5,4,2,3,2
127,140,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,No,Blue,4,4,2,2,2,3,3,4,4,4,4,2,4,4,4,4,3,4,2,3,2,5,5,5,2,4
131,144,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,No,Blue,2,2,4,3,5,1,5,5,5,4,4,2,2,4,3,5,4,4,3,2,2,6,5,5,6,7
132,145,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,No,Blue,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
133,146,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,No,Blue,2,3,3,2,2,4,4,3,4,4,2,2,2,2,4,5,2,2,5,3,4,2,3,2,2,5
134,147,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,blank,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,No,Blue,4,3,2,4,4,4,3,4,4,4,4,2,4,4,3,4,2,2,2,2,3,4,2,3,3,3
136,149,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,No,Blue,4,4,2,2,2,4,3,2,2,3,4,1,4,4,3,2,1,4,3,3,2,3,1,3,1,1
137,150,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,No,Blue,4,4,4,3,2,2,2,5,4,2,4,2,4,2,4,5,2,4,2,3,5,2,2,3,3,3
138,151,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK A, ,DECK A, ,No,Blue,2,2,3,4,3,4,4,2,3,3,4,2,3,4,2,3,2,3,4,3,4,2,3,3,1,3
139,152,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK B,correct,No,Blue,4,3,4,3,2,4,2,4,5,3,3,4,1,2,3,4,4,2,2,2,5,3,3,6,1,1
140,153,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,No,Blue,1,1,1,2,1,1,3,4,5,1,1,1,4,5,5,5,1,5,7,3,7,6,7,6,1,1
141,154,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,correct,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,No,Blue,2,4,4,3,2,2,4,3,2,5,4,3,1,5,4,3,3,4,2,5,5,6,2,2,3,3
143,156,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK A, ,DECK A, ,No,Blue,1,1,4,3,5,1,4,4,5,4,1,1,3,4,1,4,3,3,3,1,7,4,7,6,6,4
144,157,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,No,Blue,4,3,3,3,3,4,3,3,2,3,4,3,3,4,4,4,4,4,7,5,5,6,6,6,6,7
145,158,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,No,Blue,3,4,2,3,2,5,2,2,4,4,5,1,3,3,3,2,1,4,3,2,2,2,3,3,3,1
146,159,DECK A, ,DECK B,incorrect,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,incorrect,DECK B,incorrect,No,Blue,2,2,4,4,4,3,4,2,4,5,4,3,1,2,2,5,2,4,2,3,6,6,4,1,3,3
